"Titre";"Catégorie de talents";"Aptitude";"Aptitude raciale";"Talent";"Pouvoir";"Autre prérequis";"Compétences";"Classe";"Race";"Avantage";"Stats";"Source";"Errata"
"Réserves arcaniques";"Héroïque";;;;;;;"Ensorceleur, Façonneur, Mage d’armes, Magicien, Sorcier";"Humain";"Si tous vos pouvoirs de rencontre d'attaque arcaniques sont utilisés, vous bénéficiez d'un bonus de +2 à vos jets de dégâts pour vos pouvoirs arcaniques d'attaque à volonté jusqu'à la fin de la rencontre ou jusqu'à ce que vous regagniez l'utilisation de l'un de vos pouvoirs de rencontre d'attaque arcanique.";;"Secret des Arcanes";"Aucun"
"Résilience de la force de la terre";"Héroïque";"Force de la terre";;;;;;"Gardien";;"Lorsque vous utilisez votre second souffle, vous bénéficiez de résistance 2 à tous les dégâts jusqu'à la fin de votre tour de jeu suivant. La résistance passe à 5 au niveau 11 et à 8 au niveau 21.";;"Force de la Nature";"Aucun"
"Résilience primale";"Héroïque";;;;;;;"Barbare, Druide, Gardien, Limier, Shaman";"Demi-orque";"Vous gagnez des points de vie supplémentaires temporaires égaux à votre modificateur de Constitution lorsque vour utilisez votre trait racial Vitalité demi-orque.";;"Force de la Nature";"Aucun"
"Résistance de Kord";"Héroïque";;;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";"Goliath";"Tant que votre pouvoir racial endurance de la pierre est actif, les alliés adjacents bénéficient de la même résistance que celle que vous confère le pouvoir.";;"Intervention Divine";"Aucun"
"Résistance de la pierre";"Héroïque";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";"Nain";"Vous pouvez utilisez votre second souffle au prix d’une interruption immédiate lorsqu’une attaque vous inflige des dégâts.";;"Art de la Guerre 2";"Aucun"
"Résistance de manifestation";"Héroïque";;;;;;;;"Genasi";"Augmentez la valeur de résistance que vous confère votre manifestation élémentaire (le cas échéant) de 5. Par exemple, lorsque vous manifestez l'âme de feu du niveau 1 au niveau 10, vous bénéficiez d'une résistance au feu 10 (et non 5).";;"Royaume Oubliés";"Aucun"
"Résistance défensive";"Héroïque";;;;;;;"Guerrier";;"Lorsque vous usez de second souffle lorsque vous êtes en péril, vous bénéficiez jusqu'à la fin de votre tour de jeu suivant d'un bonus de +1 à toutes les défenses en plus du bonus normal du second souffle.";"Con 13, Sag 13";"Art de la Guerre 1";"Aucun"
"Résistance offensive";"Héroïque";;;;;;;"Guerrier";;"Lorsque vous êtes en péril et que vous usez de second souffle, vous bénéficiez d'un bonus de +1 aux jets d'attaque jusqu'à la fin de votre tour de jeu suivant.";"Dex 13, Sag 13";"Art de la Guerre 1";"Aucun"
"Résistance polyvalente";"Héroïque";;;;;;;;"Genasi";"Vous gagnez une résistance au feu 5, résistance au froid 5 et résistance au tonnerre 5, quelque soit votre manifestation.";;"Royaume Oubliés";"Aucun"
"Résolution de la terre";"Parangonique";"Force de la terre";;;;;;"Gardien";;"Quand un ennemi que vous avez marqué effectue une attaque qui ne vous prend pas pour cible, vous gagnez des points de vie temporaires égaux à votre modificateur de Constitution.";;"Manuel des Joueurs 2";"Aucun"
"Résonance drakéide";"Héroïque";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";"Drakéide";"Lorsque vous touchez un ennemi avec un pouvoir martial, vous pouvez dépenser votre pouvoir racial souffle du dragon pour lui infliger des dégâts supplémentaires. Déterminez le total et le type de dégâts infligés en lançant les dés comme si vous aviez touché avec souffle du dragon.";;"Art de la Guerre 2";"Aucun"
"Ressort de l'elfe de la lune";"Héroïque";;;;;;;;"Éladrin";"Si vous utilisez votre pouvoir d'éclipse féerique lorsque vous êtes en péril, et qu'aucun allié ne se situe dans un rayon de 5 cases, vous pouvez dépenser une récupération au prix d'une action libre.Spécial : vous ne pouvez pas prendre ce talent si vous avez déjà le talent Grâce de l'elfe du soleil.";;"Royaume Oubliés";"Aucun"
"Rétablissement nain";"Parangonique";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";"Nain";"Lorsque vous utilisez votre second souffle, vous bénéficiez d'un bonus de +5 aux jets de sauvegarde jusqu'à la fin de votre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Retraite maîtrisée";"Parangonique";;;;;;;"Rôdeur";;"Chaque fois que vous touchez un ennemi avec une attaque de corps à corps à votre tour de jeu, vous ne provoquez pas d'attaque d'opportunité de la part de cet ennemi pour vous éloigner de lui jusqu'à la fin de votre tour de jeu.";;"Art de la Guerre 2";"Aucun"
"Rétribution dominatrice";"Parangonique";"Alliance de colère";;;;;;"Invocateur";;"Quand vous utilisez votre pouvoir armure de colère, vous renversez la cible à ses terre après l'avoir poussée.";;"Manuel des Joueurs 2";"Aucun"
"Réveil de l'aspect";"Parangonique";;"Aspect de la nature";;;;;;"Silvyen";"Après un repos court, vous pouvez changer d'aspect de la nature.";;"Manuel des Joueurs 3";"Aucun"
"Rite de sang des esprits";"Héroïque";;;;;;;"Barbare, Druide, Gardien, Limier, Shaman";"Tieffelin";"Votre bonus aux jets d'attaque conféré par votre trait racial Appel du sang passe à +2. Lorsque vous utilisez votre pouvoir racial courroux infernal vous bénéficiez d'un bonus de pouvoir de +2 au jet de dégâts contre la cible jusqu'à la fin de votre tour de jeu suivant.";;"Force de la Nature";"01/2013"
"Robustesse";"Héroïque";;;;;;;;;"Lorsque vous prenez ce talent, vous obtenez 5 points de vie supplémentaires à chaque échelon de jeu, c’est à dire au niveau 1, 11 et 21.";;"Manuel des Joueurs 1";"Aucun"
"Ruée active";"Héroïque";;;;;;;"Rôdeur, Voleur";"Humain";"Lorsque vous dépensez un point d'action pour entreprendre une action supplémentaire, vous pouvez vous décaler de 2 cases au prix d'une action libre avant ou après l'action supplémentaire.";;"Art de la Guerre 2";"Aucun"
"Ruée déferlante";"Héroïque";;;;;;;;;"Quand vous poussez un ennemi avec une bousculade, vous pouvez également pousser un ennemi qui lui est adjacent de 1 case. L'ennemi peut être adjacent à la cible avant ou après la résolution de la bousculade.";;"Manuel des Joueurs 3";"Aucun"
"Rune d'éloquence (runique)";"Héroïque";;;;;;;;;"Vous bénéficiez d'un bonus de talent aux tests de Bluff et aux tests de Diplomatie égal au nombre de talents runiques que vous avez.";;"Manuel des Joueurs 3";"Aucun"
"Rune d'espoir (runique)";"Héroïque";;;;"Rune de réparation";;;;;"La cible de votre rune de réparation gagne également des points de vie temporaires égaux au nombre de talents runiques que vous avez.";;"Manuel des Joueurs 3";"Aucun"
"Rune d'évasion (runique)";"Parangonique";;;;;;;"Prêtre des runes";;"Quand un allié situé dans un rayon de 5 cases utilise son second souffle, il peut entreprendre une action libre pour se décaler d'un nombre de cases égal au nombre de talents runiques que vous avez.";;"Manuel des Joueurs 3";"Aucun"
"Rune de tourment (runique)";"Parangonique";;;;;;;"Prêtre des runes";;"Quand un allié situé dans un rayon de 5 cases rate un jet de sauvegarde contre un effet causé par vos pouvoir de prêtre de runes, il subit des dégâts égaux au nombre de talents runique que vous avez.";;"Manuel des Joueurs 3";"Aucun"
"Rune de vengeance (runique)";"Héroïque";;;;;;;;;"Quand vous êtes en péril pour la première fois d'une rencontre, vous bénéficiez d'un bonus aux jets de dégâts égal au nombre de talents runiques que vous avez. Le bonus dure jusqu'à la fin de votre tour de jeu suivant.";;"Manuel des Joueurs 3";"Aucun"
"Rune de zèle (runique)";"Héroïque";;;;;;;;;"Vous bénéficiez d'un bonus de talent aux tests d'Athlétisme et aux test d'endurance égal au nombre de talents runiques que vous avez.";;"Manuel des Joueurs 3";"Aucun"
"Rupture de front";"Parangonique";"Vitesse de la pensée";;;;;;"Batailleur";;"Quand vous utilisez votre vitesse de la pensée, vous pouvez pénétrer dans un espace occupé par un ennemi. Vous interrompez aussitôt votre déplacement et devez ensuite faire glisser l'ennemi de 1 case.";;"Manuel des Joueurs 3";"Aucun"
"Ruse avantageuse";"Héroïque";"Vertu de ruse";;;;;;"Barde";;"Lorsque vous faîtes glisser un allié grâce à votre vertu de ruse, vous pouvez aussi faire glisser un ennemi qui lui était adjacent dans la case que cet allié libère.";;"Manuel des Joueurs 2";"Aucun"
"Ruse de Brilledor";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquez le pouvoir de votre dieu pour utiliser ruse de Brilledor.";;"Royaume Oubliés";"Aucun"
"Ruse indomptée";"Héroïque";"Sang indompté";;;;;;"Gardien";;"Quand vous utilisez votre second souffle, vous pouvez vous décaler d'un nombre de cases égal à votre modificateur de Sagesse au prix d'une action libre.";;"Manuel des Joueurs 2";"Aucun"
"Ruse supérieure";"Parangonique";"Vertu de ruse";;;;;;"Barde";;"PREREQUIS BARDEQuand vous utilisez votre vertu de la ruse pour faire glisser un allié, vous pouvez le faire glisser de 2 cases au lieu d'une.";;"Manuel des Joueurs 2";"Aucun"
"Rythme du marteau";"Parangonique";;;;;;;;;"Si vous ratez une attaque de corps à corps avec un marteau ou une masse d'arme et que vous n'êtes pas censé infliger des dégâts sur un échec, vous infligez tout de même à votre cible initiale des dégâts égaux à votre modificateur de Constitution. Ces dégâts ne bénéficient pas des modificateurs ou autres avantages s'appliquant habituellement aux dégâts des armes.";"For 15, Con 17";"Manuel des Joueurs 1";"Aucun"
"Sage des profondeurs";"Héroïque";;;;;;"Formation Exploration";;;"Vous bénéficiez d'un bonus de talent de +5 aux tests de connaissance d'Exploration et aux test de connaissances des monstres pour identifier les créatures aberrantes. De plus vous pouvez maintenant parler, lire et écrire couramment le profond.";;"Force de la Nature";"Aucun"
"Sage sauvage";"Héroïque";;;;;;"Formation Nature";;;"Vous bénéficiez d'un bonus de talent de +5 aux tests de connaissance de Nature et aux test de connaissances des monstres pour identifier les créatures naturelles. De plus, vous choisissez un des rituels suivants : Bâton de sourcier, Prédire le temps ou Tenue de Camouflage du voyageur. Vous maîtriser ce rituel et pouvez l'effectuer une fois par jour sans bréviaire ni dépense de composantes.";;"Force de la Nature";"Aucun"
"Saisir l'instant";"Parangonique";;;;;;;;;"Durant le premier round de combat et les rounds de surprise, vous jouissez automatiquement d'un avantage de combat sur les adversaires dont l'initiative est inférieures au votre.";"Dex 17";"Manuel des Joueurs 1";"Aucun"
"Salve de Berronar";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquez le pouvoir de votre dieu pour utiliser salve de Berronar.";;"Royaume Oubliés";"Aucun"
"Sang de feu infernal";"Héroïque";;;;;;;;"Tieffelin";"Vous bénéficiez d’un bonus de +1 aux jets d’attaque et de dégâts lorsque vous utilisez un pouvoir accompagnés du mot-clé feu ou terreur.";;"Manuel des Joueurs 1";"01/2013"
"Sanglier éventreur";"Héroïque";"Maîtrise des bêtes";;;;;;"Rôdeur";;"(Sanglier) Votre compagnon bestial bénéficie d'un bonus de +2 aux jets de sauvegarde. Quand votre compagnon bestial agit indépendamment, il n'est pas obligé de vous être adjacent, mais il doit rester dans un rayon de 10 cases. En outre, s'il touche une créature avec une attaque de base de corps à corps, cette créature est également poussée de 2 cases par rapport à la bête.";;"Art de la Guerre 2";"Aucun"
"Sauteur en longueur";"Héroïque";;;;;;"Formation Athlétisme";;;"Vous effectuez tous vos sauts en longueur comme si vous aviez pris de l’élan.Vous bénéficiez d’un bonus de talent de +1 aux tests d’Athlétisme.";;"Manuel des Joueurs 1";"Aucun"
"Sauvaferie grimpe-falaise";"Parangonique";;;;;;;;"Féral longue-dent, Féral griffe-effilée";"Tant que vous êtes sous l'effet de votre pouvoir racial sauvagerie griffe-effilée ou sauvagerie longue-dent, vous disposez d'une vitesse d'escalade égal à votre VD.";;"Manuel des Joueurs 2";"Aucun"
"Sauvagerie cuir-épais";"Parangonique";;;;;;;;"Féral longue-dent, Féral griffe-effilée";"Tant que vous êtes sous l'effet de votre pouvoir racial sauvagerie griffe-effilée ou sauvagerie longue-dent, vous disposez d'une résistance 2 à tous les dégâts.";;"Manuel des Joueurs 2";"Aucun"
"Sauvagerie sacrée";"Héroïque";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";"Féral griffe-effilée, Féral longue-dent";"Lorsque vous utilisez un pouvoir de Conduit divin alors que vous êtes en péril, vous bénéficiez d'un bonus de +1 aux jets d'attaque de corps à corps jusqu'à la fin de votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Sbires défensifs";"Héroïque";;;;;;;"Façonneur";;"Une créature que vous convoquez en utilisant un pouvoir de convocation de façonneur bénéficie d'un bonus de talent de +2 à toutes les défenses.";;"Eberron";"Aucun"
"Scélérat";"Héroïque";;;;;;;"Voleur";;"Vous pouvez utiliser une masse dans le cadre des pouvoirs de voleur exigeant une lame légère. Vous réduisez les dégâts d'attaque sournoise d'un dé lorsque vous attaquez avec une masse.";"For 13, Con 13";"Art de la Guerre 1";"Aucun"
"Second souffle supérieur";"Parangonique";;;;;;;;;"Lorsque vous utilisez votre second souffle, vous récupérez 5 points de vie supplémentaires.";;"Manuel des Joueurs 1";"Aucun"
"Second tir";"Héroïque";"Traque";;;;;;"Rôdeur";;"Vous pouvez désigner comme proie le deuxième ennemi le plus proche, au lieu du plus proche.";;"Art de la Guerre 2";"Aucun"
"Secousse aggravée";"Héroïque";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";"Genasi";"Votre pouvoir racial secousse sismique inflige des dégâts supplémentaires égaux à votre modificateur de force.";;"Art de la Guerre 2";"Aucun"
"Secousse martelée";"Parangonique";;;;;;"Formation Intimidation";"Guerrier, Maître de guerre, Rôdeur, Voleur";;"Chaque fois que vous utilisez un marteau pour effectuer une attaque de base de corps à corps, l'attaque s'accompagne du mot-clé désarçonnant (cf. page 81).";;"Art de la Guerre 2";"Aucun"
"Secret de l'évasion";"Parangonique";;;;;;;;"Silvyen";"Une fois par jour, quand vous êtes réduit à 0 point de vie ou moins sans pour autant mourir, vous pouvez vous téléporter dans une case adjacente à un allié situé dans un rayon de 10 cases.";;"Manuel des Joueurs 3";"Aucun"
"Secret du réveil de la nature";"Héroïque";;"Aspect de la nature";;;;;;"Silvyen";"Une fois par jour, quand vous êtes réduit à 0 points de vie ou moins, vous pouvez changer votre aspect de la nature quand vous n'êtes plus mourant, comme si vous aviez pris un repos prolongé. Vous regagnez aussi l'usage de votre pouvoir racial de silvyen comme si vous aviez pris un repos court.";;"Manuel des Joueurs 3";"Aucun"
"Séide de l'hiver";"Héroïque";;;;;;;;;"Lorsque vous attaqué une créature vulnérable au froid, vous jouissez d’un avantage de combat si vous utilisez un pouvoir accompagné du mot-clé froid.";;"Manuel des Joueurs 1";"Aucun"
"Sens des pièges";"Héroïque";;;;;;;"Voleur";;"Vous bénéficiez d'un bonus de talent de +2 à toutes les défenses contre les attaques de pièges ainsi qu'aux tests de perception visant à trouver des pièges.";"Sag 13";"Art de la Guerre 1";"Aucun"
"Sens du combat";"Parangonique";;;;;;;;;"Vous bénéficiez d'un bonus de talent de +1 à toutes les défenses contre les attaques de proximité, de zone et à distance.";;"Manuel des Joueurs 1";"Aucun"
"Sens du danger";"Parangonique";;;;;;;;;"Lorsque vous effectuez un test d'initiative, lancez deux fois le dé et gardez le meilleur résultat.";;"Manuel des Joueurs 1";"Aucun"
"Sens du danger partagé";"Parangonique";;;;;;;;"Githzerai";"Les alliés situés dans un rayon de 5 cases bénéficient d'un bonus racial de +2 aux tests d'initiative.";;"Manuel des Joueurs 3";"Aucun"
"Sens du drakéide";"Héroïque";;;;;;;;"Drakéide";"Vous bénéficiez de la vision nocturne et d’un bonus de talent de +1 aux tests de Perception.";;"Manuel des Joueurs 1";"Aucun"
"Sens du sauvage";"Héroïque";;;;;;;;"Féral griffe-effilée, Féral longue-dent";"Quand vous effectuez un jet de Perception pour chercher des traces, jetez deux fois le dés et utilisez le résultat que vous préférez.Vous bénéficiez aussi d’un bonus de talent de +3 à vos tests initiative";;"Manuel des Joueurs 2";"Aucun"
"Sensibilité télépathique";"Héroïque";;;;;;;;"Kalashtar";"Vous percevez les pensées égarées des créatures proches. Vous bénéficiez d'un bonus de talent de +5 aux tests de Perception opposés au test de Discrétion d'une créature.";;"Eberron";"Aucun"
"Serment rapprochant";"Héroïque";"Censure de poursuite";;;"Serment d'inimitié";;;"Vengeur";;"Lorsque vous réussissez une attaque à distance contre la cible de votre serment d'inimitié, vous pouvez vous décaler d'un nombre de cases égal à 1+ votre modificateur de Dextérité au prix d'une action libre, à condition de finir ce décalage au plus près de la cible.";;"Intervention Divine";"Aucun"
"Serpent constricteur";"Héroïque";"Maîtrise des bêtes";;;;;;"Rôdeur";;"(Serpent) Votre compagnon bestial bénéficie d'un bonus de +2 aux jets de sauvegarde. Quand votre compagnon bestial agit indépendamment, il n'est pas obligé de vous être adjacent, mais il doit rester dans un rayon de 10 cases. En outre, s'il touche une créature avec une attaque de base de corps à corps, celle-ci est immobilisée jusqu'à la fin de son propre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Serviteur inconstant";"Héroïque";;;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";"Changelin";"Vous pouvez sélectionner des talents de domaine dans n'importe quel domaine, pas seulement ceux qui sont associés à votre divinité. De plus, vous bénéficiez d'un bonus de talent de +3 aux tests de Religion.";;"Intervention Divine";"Aucun"
"Soif de combat";"Héroïque";;;;;;;;"Demi-orque";"Vous gagnez un  bonus de talent de +3 à l’initiative, et votre nombre de récupérations augmente de 1.";;"Manuel des Joueurs 2";"Aucun"
"Soif de sang";"Parangonique";;;;;;;;;"Vous bénéficiez d'un bonus de +2 aux jets de dégâts de corps à corps contre les adversaires en péril.";;"Manuel des Joueurs 1";"Aucun"
"Soigneur de combat";"Héroïque";;;;"Mot de guérison";;;"Prêtre";;"Lorsque vous utilisez mot de guérison, vous regagnez un nombre de point de vie égal à votre modificateur de Force.";;"Intervention Divine";"Aucun"
"Soins actifs";"Héroïque";;;;;;;"Façonneur";;"Vos pouvoirs de guérison rendent 2 points de vie supplémentaires passent à 3 au niveau 6, à 4 au niveau 11, à 5 au niveau 16, à 6 au niveau 21 et à 7 au niveau 26.";;"Eberron";"Aucun"
"Soins au repos";"Héroïque";;;;;;;;;"Après avoir pris un repos court ou un repos prolongé, tous les pouvoirs ayant le mot-clef guérison que vous utilisez avant le début de la rencontre suivante font automatiquement récupérer le maximum possible de point de vie.Par exemple, si un prêtre de niveau 6 avec une Sagesse de 18 et ce talent utilise mot de guérison après un repos, ce pouvoir permet à la cible de récupérer un nombre de point de vie égal à sa valeur de récupération + 16 (le maximum de 2d6 +4).";;"Manuel des Joueurs 2";"Aucun"
"Soldat éladrin";"Héroïque";;;;;;;;"Éladrin";"Vous êtes formé au maniement des lances et de l’épée longue. Vous bénéficiez d’un bonus de talents de +2 aux jets de dégâts des lances et de l’épée longue.";;"Manuel des Joueurs 1";"Aucun"
"Solide détermination";"Parangonique";;;;;;;;;"Chaque fois que vous utilisez un pouvoir d'attaque quotidien, vous gagnez des points de vie temporaires égaux à la moitié de votre niveau + votre modificateur de Constitution.";;"Manuel des Joueurs 3";"Aucun"
"Solidité de la pierre";"Héroïque";;;;;;;"Paladin";"Goliath";"Lorsque vous utilisez imposition des mains ou toucher de la vertu sur un allié, il bénéficie d'une résistance à tous les dégâts égale à votre modificateur de Force jusqu'à la fin de votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Son solide";"Parangonique";;;;;;;;;"Quand vous utilisez un pouvoir accompagné du mot-clé tonnerre ou force, vous bénéficiez d'un bonus de +2 en Réflexes, Vigueur ou Volonté jusqu'à la fin de votre tour de jeu suivant. Choisissez la défense en question lorsque vous utilisez le pouvoir.";"Con 13";"Manuel des Joueurs 1";"Aucun"
"Sorcellerie destructrice";"Héroïque";;;;;;;"Magicien";;"Lorsque vous utilisez un pouvoir d’attaque arcanique et touchez deux créatures ou plus, vous bénéficiez d’un bonus de +2 aux jets de dégâts de ce pouvoir.Ce bonus passe à+3  au niveau 11 et à +4 au niveau 21.";"Dex 13";"Secret des Arcanes";"Aucun"
"Sorcellerie remémorée";"Héroïque";;;;;;;"Magicien";"Déva";"Choisissez un pouvoir d'attaque quotidien de magicien et un pouvoir utilitaire de magicien de chaque niveau que vous connaissez. Ajoutez ces pouvoirs à votre grimoire. Chaque fois que vous gagnez un nouveau niveau de pouvoir d'attaque quotidien de magicien ou de pouvoir utilitaire de magicien, vous apprenez un pouvoir supplémentaire de ce niveau. Ce talent ne change pas le nombre de pouvoirs d'attaque quotidiens ou de pouvoirs utilitaires que vous pouvez préparer chaque jour.";"Sag 13";"Secret des Arcanes";"Aucun"
"Sorts renforcés";"Parangonique";;;;;;;"Magicien";;"Les créatures qui tentent des jets de sauvegarde contre vos pouvoirs de magicien subissent un malus de -2 aux jets.";"Cha 13";"Manuel des Joueurs 1";"Aucun"
"Souffle de soutien";"Héroïque";;;;;;;"Guerrier";"Drakéide";"Lorsque vous utilisez votre pouvoir racial souffle de dragon, vous bénéficiez d'un +1 aux jets d'attaque des pouvoirs accompagnés du mot clé fortifiant jusqu'à la fin de votre tour de jeu suivant.";"Con 13";"Art de la Guerre 1";"Aucun"
"Souffle de vie";"Héroïque";;;;;;;"Prêtre";"Drakéide";"Votre pouvoir racial souffle de dragon vise uniquement les ennemis. Les alliés pris dans la décharge de votre souffle de dragon gagnent un nombre de points de vie temporaires égal à votre modificateur de Force.";;"Intervention Divine";"Aucun"
"Souffle du cœur de tempête";"Héroïque";"Cœur de tempête";;;;;;"Gardien";;"Lorsque vous utilisez cœur des tempêtes pour faire glisser un ennemi, vous pouvez pousser l'ennemi de 2 cases au lieu de le faire glisser.";;"Force de la Nature";"Aucun"
"Souffle intense";"Parangonique";;;;"Souffle de dragon";;;;"Drakéide";"Utilisez des d10 à la place des d6 au jet de dégâts de votre pouvoir souffle de dragon";;"Manuel des Joueurs 1";"Aucun"
"Souffle primal";"Héroïque";;;;;;;"Gardien";"Drakéide";"Lorsque vous utilisez votre pouvoir racial souffle de dragon, vous pouvez choisir de marquer chaque cible jusqu'à la fin de votre tour de jeu suivant.";;"Force de la Nature";"01/2013"
"Souvenirs partagés";"Héroïque";;;;;;;"Maître de Guerre";"Déva";"Chaque fois qu'un allié qui vous est adjacent effectue un jet d'attaque, un jet de sauvegarde ou un jet de compétence, vous pouvez dépenser votre pouvoir racial mémoire d'un millier de vies au prix d'une action libre pour ajouter 1d6 au jet.";;"Art de la Guerre 2";"Aucun"
"Sprinter";"Héroïque";;;;;;;;;"Vous bénéficiez d’un bonus de +2 en vitesse de déplacement lorsque vous chargez ou courez.";"Con 13";"Manuel des Joueurs 1";"Aucun"
"Stratagème féerique";"Parangonique";;;;;;;"Maître de guerre";"Gnome";"Lorsque vous êtes caché vis-à-vis d'un ennemi, vos alliés jouissent d'un avantage de combat contre lui lorsqu'ils effectuent des attaques de base conférées par vos pouvoirs de maître de guerre.";;"Art de la Guerre 2";"Aucun"
"Style de la tempête fracassante";"Héroïque";"Déluge de coups";;;;;;"Moine";;"Quand vous utilisez un gourdin, vous bénéficiez d'un bonus de +2 aux dégâts infligés par votre pouvoir de déluge de coups.";;"Manuel des Joueurs 3";"Aucun"
"Style du fer de lance";"Héroïque";"Déluge de coups";;;;;;"Moine";;"Quand votre pouvoir déluge de coups est déclenché par une attaque que vous effectuez avec une lance, une cible de ce pouvoir peut se trouver jusqu'à 2 cases de vous.";;"Manuel des Joueurs 3";"Aucun"
"Supériorité forgelière";"Héroïque";"Supériorité au combat";;;;;;"Guerrier";"Forgelier";"Lorsque vous touchez une créature avec une attaque d'opportunité, celle-ci se retrouve à terre.";;"Art de la Guerre 2";"01/2013"
"Supériorité tactique";"Parangonique";"Supériorité au combat";;;;;;"Guerrier";;"Chaque fois que vous touchez avec une attaque d'opportunité un ennemi que vous avez marqué, celui-ci est ralenti jusqu'à la fin de votre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Suprématie de la terre";"Héroïque";"Force de la terre";;;;;;"Gardien";;"Quand vous utilisez votre second souffle, vous bénéficiez d'un bonus égal à votre bonus de constitution à vos jets de dégâts d'armes jusqu'à la fin de votre tour de jeu suivant.";;"Manuel des Joueurs 2";"Aucun"
"Surineur";"Héroïque";"Attaque sournoise";;;;;;"Voleur";;"Les dés de dégâts supplémentaires de votre aptitude  de classe d’attaque sournoise passent de D6 à D8.";;"Manuel des Joueurs 1";"Aucun"
"Survivant entêté";"Héroïque";;;;;;;;"Humain";"Vous bénéficiez d'un bonus de +2 aux jets de sauvegarde lorsque vous n'avez plus de points d'action.";;"Royaume Oubliés";"Aucun"
"Tacticien du souffle";"Parangonique";;;;;;;"Maître de guerre";"Drakéide";"Lorsque vous utilisez votre pouvoir racial souffle de dragon, vous pouvez avant l'attaque faire glisser un allié pris dans l'explosion d'un nombre de cases égal à votre modificateur d'Intelligence.";"Int 13";"Art de la Guerre 2";"Aucun"
"Tactique d'embuscade";"Héroïque";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";;"Le premier ennemi à qui vous infligez des dégâts durant le premier round d’une rencontre subit 1d6 dégâts supplémentaires s’il n’a pas déjà agi.";;"Art de la Guerre 2";"Aucun"
"Tactique forgelière";"Héroïque";;;;;;;;"Forgelier";"Vous bénéficiez d'un +1 aux jets d'attaque de corps à corps contre tout ennemi adjacent à un allié.";;"Eberron";"Aucun"
"Tactique supérieure";"Héroïque";"Présence tactique";;;;;;"Maître de Guerre";;"Ajoutez 1 au bonus au jet d'attaque conféré par votre présence tactique.";;"Art de la Guerre 1";"Aucun"
"Téléportation salvatrice";"Parangonique";;;;;;;;;"Si vous vous téléportez à votre tour de jeu, vous bénéficiez d'un bonus de talent de +2 aux jets de sauvegarde à la fin de ce tour de jeu.";;"Manuel des Joueurs 3";"Aucun"
"Tempête déchaînée";"Héroïque";;;;;;;;;"Vous bénéficiez d’un bonus de talent de +1 aux jets de dégâts lorsque vous utilisez un pouvoir accompagné du mot-clé électricité ou tonnerre.Au niveau 11, ce bonus passe à +2, il passe à +3 au niveau 21.";"Con 13, Dex 13";"Manuel des Joueurs 1";"Aucun"
"Tenace";"Héroïque";;;;;;;;;"Le nombre de vos récupérations augmente de 2.";;"Manuel des Joueurs 1";"Aucun"
"Tenaille d'hast";"Héroïque";;;;;;;;;"Quand vous effectuez une attaque de corps à corps avec une arme d'hast contre une cible qui ne vous est pas adjacente, choisissez une case inoccupée adjacente à vous et à la cible. On considère que vous occupez cette case pour ce qui est de déterminer si vous prenez la cible en tenaille pour cette attaque.";;"Manuel des Joueurs 3";"Aucun"
"Tenaille féerique";"Parangonique";;;;;;;"Maître de guerre";"Éladrin";"Chaque fois que vous vous téléportez, un ennemi auquel vous vous retrouvez adjacent vous confère un avantage de combat jusqu'à la fin de votre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Tenaille insistante";"Parangonique";;;;;;;;;"Quand vous prenez un ennemi en tenaille, cet ennemi donne un avantage de combat à vos alliés.";;"Manuel des Joueurs 2";"Aucun"
"Tenaille véloce";"Héroïque";"Course d'assaut";;;;;;"Rôdeur";;"Chaque fois que vous êtes adjacent à un ennemi et que vous vous déplacez dans une autre case adjacente à lui, vous ne provoquez pas d’attaque d’opportunité de sa part pour avoir quitté votre case";;"Art de la Guerre 2";"Aucun"
"Tir à bout portant";"Parangonique";;;;;;;;;"Si vous portez une attaque à distance contre un adversaire situé dans un rayon de 5 cases, elle ignore tout abri et camouflage, y compris un abri supérieur, mais pas un camouflage total.";;"Manuel des Joueurs 1";"Aucun"
"Tir au sol";"Héroïque";;;;;;;;;"Vos attaque à distances ignorent le malus à l'attaque lié aux cibles à terre et infligent 2 dégâts supplémentaires à celles-ci.";;"Manuel des Joueurs 3";"Aucun"
